# Time-averaged data for fix f5
# TimeStep Number-of-rows
# Row c_rdff[1] c_rdff[2] c_rdff[3]
100000 2000
993 3.97 1.02302 475.478
994 3.974 1.01758 476.495
995 3.978 1.01633 477.512
996 3.982 1.01349 478.525
997 3.986 1.00998 479.535
998 3.99 1.00758 480.543
999 3.994 1.00438 481.547
1000 3.998 1.00013 482.547
1001 4.002 0.995779 483.543
1002 4.006 0.991952 484.535
1003 4.01 0.987618 485.522
1004 4.014 0.984865 486.507
1005 4.018 0.981134 487.488
1006 4.022 0.97822 488.467
1007 4.026 0.976822 489.444
1008 4.03 0.973742 490.417
1009 4.034 0.969884 491.387
1010 4.038 0.965012 492.352
1011 4.042 0.959706 493.312
1012 4.046 0.955301 494.267
1013 4.05 0.951935 495.219
1014 4.054 0.949693 496.169
1015 4.058 0.947337 497.116
1016 4.062 0.94449 498.061
1017 4.066 0.942585 499.003
1018 4.07 0.939321 499.943
1019 4.074 0.936757 500.879
1020 4.078 0.933458 501.813
1021 4.082 0.930354 502.743
1022 4.086 0.925825 503.669
1023 4.09 0.922697 504.592
1024 4.094 0.918514 505.51
1025 4.098 0.914591 506.425
1026 4.102 0.911803 507.337
1027 4.106 0.908199 508.245
1028 4.11 0.904173 509.149
1029 4.114 0.900948 510.05
1030 4.118 0.896971 510.947
1031 4.122 0.894767 511.842
1032 4.126 0.892124 512.734
1033 4.13 0.888854 513.623
1034 4.134 0.885536 514.508
1035 4.138 0.882065 515.39
1036 4.142 0.878813 516.269
1037 4.146 0.874027 517.143
1038 4.15 0.871261 518.014
1039 4.154 0.867928 518.882
1040 4.158 0.865092 519.747
1041 4.162 0.86049 520.608
1042 4.166 0.857838 521.466
1043 4.17 0.855077 522.321
1044 4.174 0.851847 523.173
1045 4.178 0.848703 524.021
1046 4.182 0.845486 524.867
1047 4.186 0.842356 525.709
1048 4.19 0.837768 526.547
1049 4.194 0.834375 527.381
1050 4.198 0.832262 528.213
1051 4.202 0.829987 529.043
1052 4.206 0.82802 529.871
1053 4.21 0.824743 530.696
1054 4.214 0.822185 531.518
1055 4.218 0.819795 532.338
1056 4.222 0.818169 533.156
1057 4.226 0.815842 533.972
1058 4.23 0.814784 534.787
1059 4.234 0.811903 535.599
1060 4.238 0.809129 536.408
1061 4.242 0.806502 537.215
1062 4.246 0.803369 538.018
1063 4.25 0.801074 538.819
1064 4.254 0.797933 539.617
1065 4.258 0.79626 540.413
1066 4.262 0.795071 541.208
1067 4.266 0.793496 542.002
1068 4.27 0.792164 542.794
1069 4.274 0.788762 543.583
1070 4.278 0.787948 544.371
1071 4.282 0.786239 545.157
1072 4.286 0.785176 545.942
